День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.16,555,80,1,1.25,182.16,14.41,2.28,373.75,21.40,67.34,3.73,2.70
10.08.2026,Закат на море,5779888441,Фраза,"вечерняя морская прогулка сочи",-,0,-,0,вечерние морские прогулки сочи,Альтернативные запросы,Запросы без упоминания брендов,Пословное,,1917567555731541131,Активные,Комбинаторное,Прогулка на закат в море - Сириус,"Закат короткий, время популярное - с 18 часов. Бронируйте заранее. Музыка, Wi-Fi",https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Не определен,Не определен,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.84,0.00,83.66,2.00,-
10.08.2026,Закат на море,5779888441,Фраза,вечерняя прогулка на яхте адлер -сочи,-,0,-,0,что лучше выбрать водная прогулка на дельфинах на катере адлер или вечерняя прогулка на яхте,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,1917567555731541131,Активные,Комбинаторное,Закат в море на яхте в Сириусе,Закат на катере с Имеретинского порта. С 18 до 20 часов. Катеров немного,https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.74,0.00,74.26,3.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка адлер цена,-,0,-,0,поездка на катамаране в адлере на побережье сколько стоит,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закажите яхту на закат в море - Сириус,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.43,0.00,43.27,4.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,адлер прогулка на яхте,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закажите яхту на закат в море - Сириус,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.01,0.00,100.51,2.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,адлер прогулка на яхте,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,"Закат в море. Бронируете заранее, яхт вечером немного","Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.84,0.00,84.05,6.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,адлер прокатиться на яхте,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Закат короткий, время популярное - с 18 часов. Бронируйте заранее. Музыка, Wi-Fi",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.03,0.00,102.53,2.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,адлер экскурсии на яхте,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,1,1,0,0.00,-,100.00,0.00,0.72,139.61,71.63,4.00,4.00
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,морская прогулка на парусной яхте в адлере,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Прогулка на закат в море - Сириус,Закат на катере с Имеретинского порта. С 18 до 20 часов. Катеров немного,https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.70,0.00,70.12,4.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,отдых на яхте адлер с обедом и ужином,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1917567555731541131,Активные,Комбинаторное,Закажите яхту на закат в море - Сириус,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_ai#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.84,0.00,84.21,6.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,отдых на яхте адлер с обедом и ужином,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.56,0.00,55.72,4.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,отдых на яхте адлер с обедом и ужином,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Закат в море на яхте в Сириусе,"Вечерняя морская прогулка с 18 часов. Закат в море, панорама Олимпийского парка",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.62,0.00,61.74,4.00,-
10.08.2026,Закат на море,5779888441,Фраза,морская прогулка на яхте адлер,-,0,-,0,прогулка на парусной яхте адлер,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1917466423210544416,Активные,Комбинаторное,Яхта на закат в море. Сириус. Выход с 18 часов,"Закат короткий, время популярное - с 18 часов. Бронируйте заранее. Музыка, Wi-Fi",https://boat-sochi.ru?utm_term=zakat_my#zakat,-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.10,0.00,109.51,1.00,-
