День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,№ Объявления,Тип объявления,Заголовок,Текст,Статус объявления,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Подобранная фраза,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Производитель устройства,Версия ОС устройства,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.71,850,81,12,14.81,159.98,9.53,23.70,398.02,20.35,46.83,3.17,2.41,6.33,1.62
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Утром 7 500 ₽/час — вся яхта ваша,От 8 000 ₽/час или 15000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,,Женский,45-54 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,,Узкие запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Утром 7 500 ₽/час — вся яхта ваша,От 8 000 ₽/час или 15000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,,Не определен,Не определен,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.77,0.00,76.79,5.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда катера в сочи,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Утром 7 500 ₽/час — вся яхта ваша,"Весь катер для вас, не групповая прогулка. Выход из Имеретинского порта. От 2 часов",Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Карты,Не определено,Смартфоны,Android,Wi-Fi,,Мужской,35-44 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.33,0.00,33.04,2.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда катера сочи,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Аренда катера в Сириусе — от 2 часов,Не групповая экскурсия. До 7 гостей на катере «Сириус». Уточните свободное окно.,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,,Мужской,18-24 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.18,0.00,18.00,1.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда яхт сочи,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Купание на яхте в открытом море — Сириус,Не групповая экскурсия. До 7 гостей на катере «Сириус». Уточните свободное окно.,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,,Мужской,35-44 года,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.18,0.00,18.00,1.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда яхты в сочи,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Купание на яхте в открытом море — Сириус,"Весь катер для вас, не групповая прогулка. Выход из Имеретинского порта. От 2 часов",Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,,Мужской,Не определен,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.18,0.00,18.00,1.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда яхты на день рождения,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Аренда яхты в Сириусе — с капитаном,Не групповая экскурсия. До 7 гостей на катере «Сириус». Уточните свободное окно.,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,,Не определен,Не определен,Остальные,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.06,0.00,6.00,4.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда яхты на день рождения,Целевые запросы,Запросы без упоминания брендов,-,1918637737025426522,Комбинаторное,Аренда яхты в Сириусе — с капитаном,От 8 000 ₽/час или от 15 000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_2&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,,Женский,Не определен,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.06,0.00,5.70,5.00,-,-,-
23.08.2026,Аренда в Сириусе,5787634638,Автотаргетинг,,-,0,-,0,аренда яхты с ночевкой,Узкие запросы,Запросы без упоминания брендов,-,1918637737025426521,Комбинаторное,Утром 7 500 ₽/час — вся яхта ваша,От 8 000 ₽/час или 15000 ₽ за 2 часа. Капитан Олег. Бронь в день обращения,Активные,https://boat-sochi.ru/?utm_content=sirius_1&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,,Женский,25-34 года,2–5%,Не определено,-,-,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
