День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Пол,Возраст,№ Объявления,Заголовок,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
Итого,,,,,,,,,,,,,,,,,,,,2666.90,8240,293,3,1.02,888.97,3.56,9.10,5816.24,5.04,70.59,5.76,2.89
27.07.2026,Группа 1 - коммерческая,5773901452,Фраза,термопанели -цена -производитель -купить -заказывать -доставка,-,0,-,0,клинкерные термопанели выборг,Не определено,-,Пословное,,Поиск,Товарная галерея,Мужской,Старше 55,1915802398259215246,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,0.21,0.00,20.84,4.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Фраза,термопанели -цена -производитель -купить -заказывать -доставка,-,0,-,0,оборудование для производства термопанелей,Не определено,-,Пословное,,Поиск,Реклама в саджесте,Мужской,Старше 55,1915802398259215246,Купить термопанели в Выборге напрямую,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Фраза,термопанели -цена -производитель -купить -заказывать -доставка,-,0,-,0,сумма которая нужна чтобы открыть производство по изготовлению термопанелей,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,Мужской,Старше 55,1915802398259215246,Клинкерные термопанели - производство Выборг,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Фраза,термопанели -цена -производитель -купить -заказывать -доставка,-,0,-,0,что нужно для открытия изготовления термопанелей клинкерных,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,Мужской,Старше 55,1915802398259215246,Клинкерные термопанели - производство Выборг,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Мужской,Старше 55,1915802398259215246,Бесплатная доставка по Выборгскому району,0.00,2,0,0,-,-,0.00,-,2.00,0.00,100.00,-,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Мужской,Старше 55,1915802398259215246,"Термопанели в Выборге - завод на Ленина, 11",0.00,4,0,0,-,-,0.00,-,4.00,0.00,100.00,-,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Женский,45-54 года,1915802398259215246,"Термопанели в Выборге - завод на Ленина, 11",0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,Сети,Прочее,Женский,Старше 55,1915802398259215246,Купить термопанели в Выборге напрямую,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,baucenter,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Женский,Старше 55,1915802398259215246,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,выборг петрович,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,Поиск,Прочее,Мужской,35-44 года,1915802398259215246,Бесплатная доставка по Выборгскому району,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-
27.07.2026,Группа 1 - коммерческая,5773901452,Автотаргетинг,,-,0,-,0,клинкерные термопанели угловые,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Товарная галерея,Мужской,Старше 55,1915802398259215246,Гарантия до 5 лет на термопанели,0.00,1,0,0,-,-,0.00,-,0.52,0.00,52.27,1.00,-
