Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Тип объявления,Заголовок,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.30,72,1,1.39,59.30,2109,0.82,3.41,1451.76,4.96,68.84,6.03,2.46,26.03,1.48
Термопанели в Выборге,712773255,14.08.2026,Группа 2 - Гео (ключевая),5773898865,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1915800871397818629,Комбинаторное,Купить термопанели в Выборге напрямую,,,,Сети,Прочее,Не определено,Смартфоны,Android,Мобильная связь,Мужской,45-54 года,Остальные,Не определено,0.00,1,1,100.00,0.00,1,0.00,100.00,1.00,100.00,100.00,-,-,100.00,1.00
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Фраза,термопанели для фасада дома,-,0,-,0,термопанели ппу для наружной отделки дома,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1916597733861553174,Комбинаторное,Термопанели для дома в Приозерске,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,18-24 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.37,0.00,136.96,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Фраза,термопанели с клинкерной плиткой,-,0,-,0,термопанели с клинкерной плиткой,Не определено,-,Пословное,,1916597733861553174,Комбинаторное,"Приозерск, Сосново — термопанели с клинкером",,,,Поиск,Реклама в саджесте,Не определено,Смартфоны,iOS,Мобильная связь,Женский,35-44 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,,Сопутствующие запросы,Запросы без упоминания брендов,-,,1916597733861553174,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,grand line,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Мобильная связь,Мужской,35-44 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,1.24,0.00,124.24,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,grand line,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Фасадные термопанели с клинкером,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Мобильная связь,Мужской,35-44 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,1.19,0.00,118.94,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,white hills,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Фасадные термопанели с клинкером,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,Топ 1%,Не определено,0.00,0,0,-,-,1,-,0.00,1.19,0.00,119.43,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,алпан теплопанели приозерск,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Термопанели для дома в Приозерске,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,3.30,1,0,0.00,-,1,3.30,100.00,1.07,93.27,107.22,1.00,1.00,0.00,1.00
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,алпан теплопанели приозерск,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Термопанели для дома в Приозерске,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,0.00,0,0,-,-,1,-,0.00,1.38,0.00,137.79,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база раздолье сосново стройматериалов,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.24,0.00,123.71,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,10.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база раздолье сосново стройматериалов,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,,1916597733861553174,Комбинаторное,Производство в Выборге — доставка в район,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,0,0,-,-,1,-,0.00,1.23,0.00,122.57,1.00,-,-,-
