Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,61,0,0.00,,1673,0.00,3.65,1189.92,5.13,71.12,5.51,2.39,20.69,2.10
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Фраза,фасадные панели с утеплителем,-,0,-,0,цокольные термопанели бакс,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели для дома в Приозерске,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.38,0.00,138.32,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Фраза,фасадные панели с утеплителем,-,0,-,0,цокольные термопанели бакс,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Термопанели с клинкерной плиткой — КлинкерПрофи,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанели с клинкерной плиткой. Производство в Выборге,"Фасадные термопанели с клинкером. Производство в Выборге, доставка по СПб...",https://marmara-pro.ru/termo?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.95,0.00,95.18,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Клинкерные термопанели — КлинкерПрофи,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.77,0.00,76.79,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,акриловые панели для стен на заказ,Альтернативные запросы,Запросы без упоминания брендов,-,,Термопанель Колорадо 1 (32 шт),,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанель Колорадо 1 (32 шт),Термопанели с клинкерной плиткой. Производство в Выборге. Доставка.,https://marmara-pro.ru/termo/tproduct/2229245581-133022576952-termopanel-kolorado-1-32-sht?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,1,0,0.00,-,1,0.00,100.00,0.62,162.31,61.61,3.00,3.00,100.00,1.00
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,амк,Альтернативные запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Мобильная связь,Женский,18-24 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели с клинкерной плиткой - КлинкерПрофи,Срок службы 25–50 лет. Не требуют покраски. Подберём толщину под ваш дом.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.35,0.00,34.55,2.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,база раздолье ларионово строительная каталог,Широкие запросы,Запросы с упоминанием брендов конкурентов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,2–5%,Не определено,1916597733861553174,Архивные,Комбинаторное,Производство в Выборге — доставка в район,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,вимос приозерск утеплитель,Сопутствующие запросы,Запросы с упоминанием брендов конкурентов,-,,Термопанель Колорадо 3 (32 шт),,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанель Колорадо 3 (32 шт),Термопанели с клинкерной плиткой. Производство в Выборге. Доставка.,https://marmara-pro.ru/termo/tproduct/2229245581-479543594102-termopanel-kolorado-3-32-sht?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,внешняя отделка каркасного дома,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Мобильная связь,Женский,45-54 года,Остальные,Не определено,1916597733861553174,Архивные,Комбинаторное,Термопанели для дома в Приозерске,Утепление и фасад за один этап. Производство в Выборге. Доставка по Ленобласти.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,1.00,0.00,100.00,-,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,17.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,гибкая плитка для стен,Широкие запросы,Запросы без упоминания брендов,-,,Клинкерная плитка фасадная WALL GREY,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,Старше 55,2–5%,Не определено,1918168175770350076,Активные,Страницы каталога,Клинкерная плитка фасадная WALL GREY,Размер: 245×65 мм Толщина: 7 мм Cтоимость 1 м2 - 1300 ₽,https://marmara-pro.ru/termo/tproduct/2229245581-901775970982-klinkernaya-plitka-fasadnaya-wall-grey?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.06,0.00,106.32,1.00,-,-,-
