Название кампании,№ Кампании,День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽",Показы,"CPC, ₽","CTR, %",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,16,0,0.00,,609,0.00,2.63,381.27,4.20,62.61,6.47,3.08,13.33,2.20
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Фраза,термопанели производитель,-,0,-,0,фабрика термопанелей вологда официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Термопанели с клинкерной плиткой — КлинкерПрофи,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1918168175770350076,Активные,Страницы каталога,Термопанели с клинкерной плиткой. Производство в Выборге,"Фасадные термопанели с клинкером. Производство в Выборге, доставка по СПб...",https://marmara-pro.ru/termo?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,2,-,0.00,1.54,0.00,77.00,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,варианты штукатурка для наружных стен,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с клинкером,Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.77,0.00,76.79,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как называется ремонт стен на улице,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с клинкером,Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как правильно установить цокольные панели на деревянный дом,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,35-44 года,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,"Приозерск, Сосново, Лосево — термопанели с клинкером",Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.87,0.00,87.00,6.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утеплить дом,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Термопанели для дома в Приозерске,Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,1.35,0.00,134.92,1.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,как утеплить дом,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Термопанели для дома в Приозерске,Клинкерные термопанели с утеплителем. Свой завод в Выборге. Расчёт фасада за 1 день.,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.79,0.00,78.56,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,просмотр установки фасадных панелей,Сопутствующие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с клинкером,Клинкерный фасад без мокрых работ. Монтаж зимой до −15 °C. ППС и ППУ. Звоните!,https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,0.00,0,0,-,-,1,-,0.00,0.09,0.00,8.50,5.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,термопанели платик,Узкие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,1916597733861553174,Активные,Комбинаторное,Фасадные термопанели с утеплителем от 1 550 ₽/панель,"Утепление и фасад. Завод в Выборге. Доставка в Приозерск, Сосново, Лосево. От 1 550 ₽",https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.38,0.00,38.03,4.00,-,-,-
"Приозерский район, Поиск   от 25-07-2026",713047408,26.08.2026,Приозерский район,5776633358,Автотаргетинг,,-,0,-,0,термопанели под доску,Узкие запросы,Запросы без упоминания брендов,-,,,,,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,1916597733861553174,Активные,Комбинаторное,Термопанели для дома в Приозерске,"Утепление и фасад. Завод в Выборге. Доставка в Приозерск, Сосново, Лосево. От 1 550 ₽",https://marmara-pro.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=termopaneli_priozersk_cpa_search&utm_content=search&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,0.00,0,0,-,-,1,-,0.00,0.61,0.00,60.77,4.00,-,-,-
